tweetcreatedts,retweetcount,following,followers,text
2021-03-15 05:55:33,0,809,335,"@MacnBTC Hey @MacnBTC, check $XSN

📌 #XSN can operate with other blockchains

📌@XSNofficial built their own DEX called @StakenetDEX under @lightning &amp; @ConnextNetwork for bridging different chains like $LINK $DOT

📌@StakenetDEX provides instant &amp; virtually feeless cross-chain trading."
2021-03-15 05:54:14,1,268,95,"@beincrypto $ONE $HOT $XSN 

Check @XSNofficial

🦾 #XSN @StakenetDEX is about to release

 👍 Community who run a master node will earn a share of the fees earned from the DEX.

It is built on @lightning &amp; @ConnextNetwork to bridge different chains. $XRP, $XMR $DOT $LINK $GRT $QUANT 🚀🚀🚀 https://t.co/rAJONyWtpX"
2021-03-15 05:54:08,0,16,3,"Told you... $KAI is melting faces since this tweet and $NEO will start this week with $NEO v3 testnet release #NEO #KAI 

$KAI Next target: $0.50
$NEO Next target: $90

#btc $ada $dot $eth https://t.co/HL9PrTBM7a"
2021-03-15 05:53:43,31,25,1,"Imagine not longing $atom 

⚛️ super bullish new blockchain

⚛️ 8x from here to $dot mcap

⚛️ only blockchain with IBC

⚛️ host of some of the best real world use case projects such as $akt and adapting new ones from eth like $sent

💜 go ahead and long now ✨ https://t.co/4HUXEAuU9E"
2021-03-15 05:53:18,0,17,104,Up we go now I’m $Grumpy this is definitely 2017 all over again 🐈💎 $shib $bnb $xrp $xlm $matic $enj $one $four $dot $ada $link $doge $hoge $poodl $bdog $bunny $kangal $chow $rfi $bao https://t.co/cTKjKPwrrT https://t.co/wgxXNCswGt
2021-03-15 05:52:40,32,1125,68,"🟢🟢🟢 Buy Signal:

ROSE/USDT

Entry: $0.19 - $0.21

First Target: $0.31

Second Target: $0.67

Overall measured target: $1.44

#Bitcoin #Ethereum #BTC $BNB $AAVE $DOT $DOGE $BCH $MANA $DOGE $AXS $ROSE $CHZ"
2021-03-15 05:51:57,0,4674,862,@TylerDurden One $BTC for each $ETH $ADA $DOT @LINK $BNB $AAVE $UNI $SNX $VET $CHZ #Bitcoin  #ALTS
2021-03-15 05:51:57,5,1266,518,"CONNECT THE $DOT 's •••••
Less Trust. More Truth.
Make Blockchain great again

#Web3 #DOT #KSM

An oldie but a goodie
https://t.co/QKV6MhF73H"
2021-03-15 05:51:34,0,1,3255,"🔄 Prices update in $USD (1 hour):

$BTC - 59180.6 $  (-1.19 %)
$ETH - 1848.01 $  (-0.88 %)
$DOT - 37.44 $    (-0.98 %)
$ADA - 1.04 $     (-1.25 %)

#BTC #ETH #DOT #ADA #Crypto #Bitcoin"
2021-03-15 05:51:11,0,186,248,"Facts (I don't know when but it will happen)

$KSM will pull an $ETH and will hit 4 figures
$DOT will hit 3 figures
$FTT will pull a $BNB"
2021-03-15 05:50:16,206,234,35,"This has to be the most undervalued project there is

Working with Central Banks, Banks, Governments, Capital Markets, MIT, Leading European Payment Provider, Excellent Team and Tokenomics, 2/3 the supply of $BTC. No Inflation

$ETH $XRP $DOT $ADA $XLM $EOS $ATOM $IOTA $ALGO $QNT https://t.co/s6OM1KEPwm"
2021-03-15 05:49:47,12,341,227,"Best of all, it's not a matter of ""IF"" a new market opens, it's a matter of ""WHEN."" #Telcoin has confirmed multiple 2021 corridors, including #US, #Australia, &amp; #Singapore. $TEL will go bonkers with each new opening.

#Bitcoin #Crypto $BTC $ETH $DOT $ADA $TRX $NFT #NFT $UNI $LTC https://t.co/7cWwohtjHm"
2021-03-15 05:49:37,5,329,430,"#DeFi apps on #BSC, #ETH, #DOT, etc are great but the centralized gateways are still a huge worry to many investors! However, #SwiftCash HODŁ deposits are 100% decentralized 🧐 Lend $SWIFT to the blockchain for a passive income in return 🚀 #Dogecoin #Litecoin #Bitcoin https://t.co/6fQYoI8Qh9"
2021-03-15 05:49:12,0,0,514,"I told you guys to $Hodl your $Vite 😄
We're just starting. Only long holders will enjoy the ride 🚀🚀

$btc $eth $trx $iotx $xrp $dot $link $vet $nftx $twt $bot $xlm $doge $audio $alpha $bao $inj $cream $matic $bnb $twt $vet $cvp $doge $bal $usdt $flr $unfi $enj $matic https://t.co/bo9WJn1KJg"
2021-03-15 05:48:19,0,3167,1999,"🔥 BOOM !! 🔥

2⃣0⃣0⃣0⃣ 𝚏𝚘𝚕𝚕𝚘𝚠𝚎𝚛𝚜 !!

𝐑𝐄𝐓𝐖𝐄𝐄𝐓 🔁, 𝐋𝐈𝐊𝐄 ❤️, 𝐅𝐎𝐋𝐋𝐎𝐖 🤹🏼‍♂️

To genarate more attention for:
$tel $htr $ubx $dag $vet $hot $zil 
$dot $skl $cfx $grt $icx $rsr $ftm

Next stop 5k 🚀🌙

#cryptotwitter #crypto https://t.co/Be5ZObyuEZ"
2021-03-15 05:47:00,0,21,1,"What are some strong mid cap/low cap #altcoins? Currently hoDling $DOT, $KSM, $AAVE, &amp; $LINK"
2021-03-15 05:46:54,0,637,1331,"$DOT looks way too good right now. 

Breakout from this wedge is just around the corner and my next target is mid $50. 

Three figure $DOT is programmed. https://t.co/KSFkGsXuuW"
2021-03-15 05:42:47,3,4511,5075,"Check out what I just listed on Mercari. #HighVisibilityVest #ReflectiveVest #SafetyVest #Safety #Nighttime #Vest #NightVest #RoadSafety #DOT #Construction #SurveyCrew #UtilityWorkers #RailwayWorkers #MetroWorkers #Workers #ConstructionWorkers

👉https://t.co/uJrU5xTIKE https://t.co/JI7jN6xu8J"
2021-03-15 05:41:58,0,157,83,"27c now. $Sake is running to $1+ soon

$link $btc $eth $nu $algo $grt $ltc  $ren $band $cvc $dnt $fil $dash  $oxt $bat $doge $aave $xtz $xlm $xrp $eos $zrx $ada $lrc $dot $uni $ren $xmr $trx $sol $sushi $enj $xem https://t.co/mqL3YSeQeY"
2021-03-15 05:41:48,0,54,23,@Forex4US30 @davidgokhshtein $STAKE $DOT $1INCH
2021-03-15 05:40:46,3,624,687,"$KTON over $200 and already at $250

ATH is $400 and $ETH was like $450 at the time

Probably the cheapest $DOT coin that is basically guaranteed a parachain slot 

Just partnered with $KONO"
2021-03-15 05:40:39,2,5,0,"Who needs Proof of Work when you have Proof of Memes?

#Bitcoin #Polkaswap #Sora $PSWAP $XOR $VAL $DOT $KSM https://t.co/UIThUEUwT1"
2021-03-15 05:39:58,10,133,207,"With both @SevenXVentures and @waterdripfund on board I expect some HUGE marketing in Asia for @polkaswitch.

Asia is already fomo'ing hard over anything #Polkadot related.

Imagine what's gonna happen with $SWTCH 😏

Stay tuned for this MONSTER 👇 $DOT
 https://t.co/0m9Rp6leiO https://t.co/xC6Y85CFQO"
2021-03-15 05:39:26,5,117,68,"Remember this logo $CHNG will Chainge thousands of lives globaly #financialfreedom 

#FSN $ETH $ADA $BNB $DOT $XRP $LTC $LINK $XLM $UNI $XEM $DOGE $AAVE $ATOM $XMR $THETA $CRO $SOL $EOS $BSV $TRX $FFT $XTZ $VET $HT $NEO $ALGO $GRT $EGLD $FIL $AVAX $FTM $CEL $REN $ICX $CHSB https://t.co/W3F7FZjjcO"
2021-03-15 05:39:01,0,1794,753,"$KAI IS BEING ABSOLUTELY SENT!  BEEN SHOUTING IT FOR MONTHS💥🚀💰💎 

Did YOU listen?

$KAI $TEL $ETH $BTC $WAN $ATOM $AION $DOT $THETA $LINK $AUDIO $SCRT $ICX $LUNA $SNX $VET $OCEAN
$BNB"
2021-03-15 05:38:41,0,1,4657,"🔄 Prices update in $USD (1 hour):

$BTC - 59454.2 $  (-0.99 %)
$ETH - 1854.42 $  (-0.51 %)
$DOT - 37.63 $    (-1.14 %)
$ADA - 1.05 $     (-0.81 %)

#BTC #ETH #DOT #ADA #Crypto #Bitcoin"
2021-03-15 05:38:30,1,756,1162,"$ONE 👀 highly undervalue project

$matic $ada $tezos $rsr $doge $dot https://t.co/5KONy8sjmS"
2021-03-15 05:38:13,0,799,1919,"@TheMoonCarl @Tesla There is a relevant point there!

Why just $ETH then? There are several others like $LTC $LINK $DOT"
2021-03-15 05:36:16,0,2651,1443,"@RiseProtocol 
$RISE #ieo #blockchain #dot #bounty #defi #Rise #RiseProtocol #RebaseToken #FrictionlessYield #Rebases #DynamicPeg #blackhole #AutoLiquidity #AutoRewards. https://t.co/kxCtVTKEMy"
2021-03-15 05:35:30,0,2651,1443,@RiseProtocol @ShuapsCrypto $RISE #ieo #blockchain #dot #bounty #defi #Rise #RiseProtocol #RebaseToken #FrictionlessYield #Rebases #DynamicPeg #blackhole #AutoLiquidity #AutoRewards. https://t.co/vrRbRMhKqP
2021-03-15 05:34:48,3,304,25,"My top 10 coins Im HODLing 4ever. 

1. $BTC
2. $VGX
3. $ETH 
4. $DOT
5. $USDC for APR
6. $OCEAN 
7. $STMX 
8. $BAT 
9. $ENJ
10. $BTT 

All on @investvoyager !!!! 🚀🚀🚀"
2021-03-15 05:34:00,0,1070,46,@CryptoMichNL Check $dot please...
2021-03-15 05:33:57,1,413,26,"#cryptocurrencies holders first thing in the #morning  😄❤️

Comment if you agree 
$BTC $ETH $DOT $REEF $OCEN $POLS $NWC $RFUEL https://t.co/S4AvcJhSoq"
2021-03-15 05:33:09,1,1191,1700,Since you @ZssBecker are familiar with $ADA &amp; $DOT here is a good thread that I think you will really appreciate to begin your analysis on $EGLD : https://t.co/7IbcD648ef
2021-03-15 05:33:00,0,1137,7142,"Good morning...Interesting day?

#Bitcoin  #DeFi $BTC $ETH $DOT $KSM $KYL $REEF $PAID $OM $RFUEL $LINK $POLS $EROWAN"
2021-03-15 05:32:29,2,553,1318,"$IFUND just brought more attention to similar projects. #blockchain fund management projects are the #wallstreet of #Crypto. #DeFi must have it. So $ISLA @insula_im has a similar potential and won't remain unnoticed for much longer #DYOR 

$btc $eth $bnb $cake $enj $dot  $chz https://t.co/e9F0nLyDIZ"
2021-03-15 05:31:17,30,624,687,Parachains are coming! $DOT
2021-03-15 05:31:09,2,5,1,$Grumpy is one of the hottest new meme coins out right now only a day in and I still have 9 lives $link $eth $shib $hoge $doge $poodl $chow $dot $feg $rfi https://t.co/bS10oR5prK
2021-03-15 05:30:58,0,31,11,"Breaking News: Biggest crypto exchange #Binance stakes More than 100 million Dollar of #ICX . A huge Pump coming Soon, because of less supply in the market and Lots of Announcements are coming this month.

#BTC #ETH #ADA #BTT #TRX #ALTSEASON #DOT https://t.co/gOssXk4vRH"
2021-03-15 05:30:03,0,638,227,Official Grumpy Cat 🐈 (@GrumpyCatToken) a tweeté : $Grumpy one of the top gainers on uniswap and it’s just the first day $shib $bao $feg $link $ada $eth $xrp $poodl $rfi $dot $bunny $btc $poodl $bunny  https://t.co/ESWydIMgGf https://t.co/Dvd5kesFtO https://t.co/hh2ODFUDJ7
2021-03-15 05:29:51,0,1034,679,"We will go at at least $.08 with testnet announcement.

$Bidao $Bid $10 #EOY
$ETH $TRON $ONT $LINK $DGB
$BTC $BNB $HUSD $TELLOR $NEM $DASH $IOST $BCD $QTUM $KMD $DOT $Atom #oasis #YOBID2021 $BAI #BIDAOCHAIN #Defi @Cosmos $DAO https://t.co/kdXwKkNrRD"
2021-03-15 05:29:39,1,32,18,"Facts is talking 🍻

https://t.co/s76a6XKlZW
@goldcoin #GLC
$BTC $ETH $XRP $XVS $BNB $LINK $DOT $SXP $LINK $VET $ZIL  
$oxt $dnt $grt $cvc $nu $btc $eth $xrp $xlm $link $band $algo $omg
#BTC #LTC #DGB #XMR
$CAKE $SPARTA $HELMUT 
$FUEL $AUTO $BSCX $UNI 
$RAMP $TWT $LINK $DOT https://t.co/BfFdaFxffD"
2021-03-15 05:29:26,0,638,227,Official Grumpy Cat 🐈 (@GrumpyCatToken) a tweeté : All the money from other meme coins is flowing to $Grumpy but we expected this $shib $bao $feg $link $ada $eth $xrp $poodl $chow $scat $rfi $dot $bunny $btc $poodl  $bunny  https://t.co/ESWydIMgGf https://t.co/RsCXMCLdp4
2021-03-15 05:29:02,0,639,762,$DOT is going to take off boys and girls. Get ready!!! https://t.co/lRFdTnDgeg
2021-03-15 05:29:00,2,510,44,@OfficialZeroDEX $ZERO is an Omni dex w/ $ETH $AVAX $BSC bridges. $DOT in Q2. Partnership @BSCPad to launch #WallStreetBets IDO. #NFTs coming. HIGH TVL. 85 million mkt cap. This will replace $UNI $SUSH @Adouble212 @Bitboy_Crypto @davidgokhshtein @tyler @coinbureau @SheldonEvans https://t.co/pXqVJKUBxY
